Treatment,Number_CDR3,Habs,H
Pre,8,2.855388542,0.951796181
Pre,1,0,0
Pre,1,0,0
Pre,11,3.378783493,0.976687464
Pre,4,2,1
Pre,29,2.533208016,0.521452846
Pre,14,3.359664127,0.882414221
Pre,20,2.382519871,0.551263191
Pre,2,1,1
Pre,15,1.067704986,0.273287659
Pre,11,3.039353872,0.878570299
Pre,7,2.641604168,0.94095839
Pre,4,1.79248125,0.896240625
Pre,2,0.918295834,0.918295834
Pre,7,2.75,0.979569765
Pre,1,0,0
Pre,6,2.521640636,0.975503759
Pre,2,0.918295834,0.918295834
Pre,13,3.199082295,0.864514095
Pre,5,2.128085279,0.916516443
Pre,1,0,0
Pre,18,3.994680368,0.957974152
Pre,5,2.155639062,0.928383212
Pre,14,1.95427008,0.513288128
Pre,22,1.401304485,0.314233877
Pre,6,1.972858599,0.763205887
Pre,15,3.423165806,0.876186758
Pre,9,2.460964047,0.77634772
Pre,20,2.968039569,0.686739692
Pre,12,3.546593564,0.989297256
Pre,6,2.189286976,0.846931813
Pre,22,3.972695139,0.89085235
Pre,6,2.299896391,0.889721375
Pre,1,0,0
Pre,1,0,0
Pre,11,3.035662314,0.877503199
Pre,3,1.584962501,1
Pre,2,1,1
Pre,1,0,0
Pre,3,1.370950594,0.864973521
Pre,1,0,0
Pre,2,0.468995594,0.468995594
Pre,2,1,1
Pre,1,0,0
Pre,8,2.947702779,0.982567593
Pre,3,1.584962501,1
Pre,5,2.251629167,0.9697239
Pre,1,0,0
Pre,1,0,0
Pre,1,0,0
Pre,1,0,0
Pre,1,0,0
Pre,6,2.125,0.822062215
Pre,2,1,1
Pre,1,0,0
Pre,18,4.023136956,0.964798397
Pre,6,2.405639062,0.930628224
Pre,19,3.390570254,0.798170459
Pre,5,2.251629167,0.9697239
Pre,31,4.379408568,0.883979619
Pre,4,1.446616668,0.723308334
Pre,1,0,0
Pre,23,4.064642207,0.89854903
Pre,22,3.541029785,0.794054061
Pre,2,1,1
Pre,3,1.584962501,1
Pre,25,3.965139932,0.853846409
Pre,1,0,0
Pre,8,3,1
Pre,8,1.884044056,0.628014685
Pre,5,2.155639062,0.928383212
Pre,1,0,0
Pre,3,1.5,0.94639463
Pre,3,1.584962501,1
Pre,14,2.929330988,0.769387422
Pre,16,1.323617517,0.330904379
Pre,8,2.599581231,0.866527077
Pre,33,4.913977073,0.974146143
Pre,5,2.128085279,0.916516443
Pre,34,4.136649485,0.813106575
Pre,18,3.486348645,0.836069868
Pre,7,1.658713113,0.590845532
Pre,2,0.985228136,0.985228136
Pre,1,0,0
Pre,2,1,1
Pre,2,1,1
Pre,1,0,0
Pre,15,3.725650756,0.953610209
Pre,5,1.78067213,0.766893744
Pre,6,2.521640636,0.975503759
Pre,7,2.339572262,0.833372454
Pre,18,2.399437894,0.57541512
Pre,5,1.652676802,0.711769157
Pre,3,1.5,0.94639463
Pre,13,1.628314866,0.440032804
Pre,6,2.049452073,0.792836288
Pre,12,2.946408931,0.821879986
Pre,19,2.829121655,0.666000455
Pre,15,3.565448372,0.912605123
Pre,6,1.912887622,0.740005946
Pre,10,3.000972825,0.903382837
Pre,9,2.55758766,0.806829076
Pre,17,3.487312024,0.853172777
Pre,2,0.918295834,0.918295834
Pre,2,1,1
Pre,2,1,1
Pre,25,4.169038445,0.897753564
Pre,6,2.396240625,0.926992413
Pre,3,1.584962501,1
Pre,4,1.79248125,0.896240625
Pre,27,2.542174222,0.534644452
Pre,11,3.169248696,0.916118324
Pre,15,3.2821302,0.840087563
Pre,1,0,0
Pre,12,3.066204043,0.855295988
Pre,2,1,1
Pre,3,1.5,0.94639463
Pre,2,1,1
Pre,1,0,0
Pre,1,0,0
Pre,1,0,0
Pre,6,1.898093374,0.73428275
Pre,3,1.287054028,0.812040681
Pre,34,4.020743383,0.790323882
Pre,3,1.584962501,1
Pre,18,3.561278124,0.854038891
Pre,16,3.816402717,0.954100679
Pre,13,3.170842608,0.856882654
Pre,1,0,0
Pre,1,0,0
Pre,2,1,1
Pre,1,0,0
Pre,1,0,0
Pre,1,0,0
Pre,1,0,0
Pre,11,3.373557262,0.975176744
Pre,5,1.634064972,0.703753478
Pre,11,2.524678021,0.729795614
Pre,3,1.459147917,0.920619836
Pre,10,2.691433022,0.810202071
Pre,10,2.60680166,0.784725492
Pre,11,3.219528282,0.930652384
Pre,3,1.584962501,1
Pre,16,3.645523772,0.911380943
Pre,24,3.374548236,0.736003454
Pre,14,3.621175543,0.951100073
Pre,1,0,0
Pre,6,2.584962501,1
Pre,2,1,1
Pre,3,1.584962501,1
Pre,10,3.251629167,0.978837914
Pre,5,2.121928095,0.913864688
Pre,9,2.895505621,0.913430324
Pre,14,3.594465637,0.944084728
Pre,2,0.721928095,0.721928095
Pre,27,4.121690622,0.866832416
Pre,3,1.584962501,1
Pre,35,3.499676698,0.682293546
Pre,20,3.947257989,0.9133095
Pre,5,1.971747257,0.849185322
Pre,6,2.355388542,0.91118867
Pre,2,0.918295834,0.918295834
Pre,5,2.235926351,0.962961065
Pre,1,0,0
Pre,1,0,0
Pre,3,1.584962501,1
Pre,10,3.06227324,0.9218361
Pre,3,1.5,0.94639463
Pre,3,0.865856617,0.546294702
Pre,10,3.238901257,0.975006431
Pre,9,2.835237745,0.894417926
Pre,4,2,1
Pre,1,0,0
Pre,4,1.446616668,0.723308334
Pre,1,0,0
Pre,6,2.5,0.967132018
Pre,2,0.970950594,0.970950594
Pre,2,0.918295834,0.918295834
Pre,3,1.370950594,0.864973521
Pre,1,0,0
Pre,16,3.424658763,0.856164691
Pre,1,0,0
Pre,4,2,1
Pre,4,1.657742727,0.828871363
Pre,3,1.286692668,0.811812688
Pre,9,2.30903502,0.728419448
Pre,1,0,0
Pre,4,1.75,0.875
Pre,3,1.584962501,1
Pre,2,0.391243564,0.391243564
Pre,8,2.947702779,0.982567593
