Treatment,Number_CDR3,Habs,H
Pre,1,0,0
Pre,1,0,0
Pre,11,2.963468201,0.856634421
Pre,6,2.281036113,0.882425224
Pre,1,0,0
Pre,5,2.251629167,0.9697239
Pre,1,0,0
Pre,18,3.929229297,0.942278169
Pre,38,4.523254478,0.861912529
Pre,30,4.34650878,0.885796961
Pre,41,4.333794394,0.808913173
Pre,1,0,0
Pre,23,3.66770293,0.810799756
Pre,3,1.224394445,0.772506886
Pre,9,2.835237745,0.894417926
Pre,4,1.321606958,0.660803479
Pre,43,4.442510038,0.818704991
Pre,13,1.89584249,0.512328976
Pre,50,3.281603698,0.581447079
Pre,46,4.21978382,0.763960621
Pre,16,3.620952031,0.905238008
Pre,27,3.915204756,0.823406391
Pre,15,3.572351663,0.914372076
Pre,5,2.251629167,0.9697239
Pre,22,4.118579554,0.92356603
Pre,4,1.501614472,0.750807236
Pre,4,1.664497779,0.83224889
Pre,23,1.928187015,0.426254141
Pre,1,0,0
Pre,7,2.260964047,0.805371643
Pre,2,1,1
Pre,2,1,1
Pre,1,0,0
Pre,4,1.921928095,0.960964047
Pre,7,1.34694123,0.479790147
Pre,5,1.770950594,0.762706907
Pre,3,1.521928095,0.960229718
Pre,1,0,0
Pre,2,1,1
Pre,1,0,0
Pre,2,0.918295834,0.918295834
Pre,1,0,0
Pre,30,2.850521549,0.580922173
Pre,1,0,0
Pre,3,1.156779649,0.729846699
Pre,16,3.193161995,0.798290499
Pre,3,0.946372936,0.597094843
Pre,5,1.055767528,0.454694325
Pre,1,0,0
Pre,99,5.758633744,0.868656504
Pre,1,0,0
Pre,1,0,0
Pre,29,4.76485766,0.980830856
Pre,13,3.326731951,0.899009903
Pre,3,1.584962501,1
Pre,5,1.700439718,0.732339525
Pre,1,0,0
Pre,3,1.584962501,1
Pre,10,2.587801264,0.779005803
Pre,1,0,0
Pre,1,0,0
Pre,9,1.077379846,0.3398755
Pre,1,0,0
Pre,10,2.62252257,0.789457958
Pre,2,0.918295834,0.918295834
Pre,1,0,0
Pre,3,0.888885776,0.560824484
Pre,2,0.811278124,0.811278124
Pre,37,2.477359257,0.475550712
Pre,3,1.061278124,0.669591946
Pre,10,3.202819531,0.96414475
Pre,15,3.526692707,0.902685299
Pre,9,2.563716987,0.808762663
Pre,6,2.311278124,0.894124431
Pre,9,2.145852761,0.676941177
Pre,18,2.810038241,0.673882202
Pre,11,1.202476161,0.347593563
Pre,2,1,1
Pre,3,1.379280487,0.870229098
Pre,6,2.411602218,0.932935088
Pre,48,4.741647443,0.849002557
Pre,22,4.124894642,0.924982149
Pre,14,2.063125949,0.541879071
Pre,32,4.292175691,0.858435138
Pre,64,3.860113362,0.643352227
Pre,11,3.299896391,0.953883977
Pre,3,1.584962501,1
Pre,1,0,0
Pre,6,2.206238929,0.853489723
Pre,2,0.970950594,0.970950594
Pre,22,1.913705367,0.42913661
Pre,5,2.155639062,0.928383212
Pre,22,3.012445982,0.675522407
