Treatment,Number_CDR3,Habs,H
Pre,7,2.721928095,0.96957035
Pre,1,0,0
Pre,33,4.897081324,0.970796732
Pre,25,3.324518591,0.715896112
Pre,12,2.98946576,0.833890385
Pre,24,4.117008392,0.8979372
Pre,2,1,1
Pre,45,4.918807064,0.895655251
Pre,1,0,0
Pre,192,7.272247098,0.958771661
Pre,102,6.293573112,0.943221211
Pre,160,5.330580113,0.728029563
Pre,1,0,0
Pre,187,6.594883674,0.873853969
Pre,15,3.748994804,0.959585305
Pre,124,5.855537976,0.842015053
Pre,15,3.564735179,0.912422575
Pre,236,6.194599053,0.785853046
Pre,48,4.698319945,0.841244672
Pre,184,5.891590385,0.783085249
Pre,124,4.602669784,0.661855027
Pre,75,5.823943856,0.93499974
Pre,46,4.763268645,0.862354525
Pre,28,4.317950887,0.898196817
Pre,27,2.280512264,0.479614347
Pre,54,4.950980415,0.860308809
Pre,80,5.760002048,0.911114768
Pre,12,3.5,0.97630031
Pre,90,4.834727317,0.744737634
Pre,37,4.33355625,0.831863911
Pre,3,1.370950594,0.864973521
Pre,30,4.55234287,0.927744929
Pre,4,1.75,0.875
Pre,50,5.189108509,0.919426069
Pre,49,5.360754933,0.954769718
Pre,54,4.487154516,0.779711943
Pre,6,2.446439345,0.946411928
Pre,1,0,0
Pre,3,1.5,0.94639463
Pre,4,1.918295834,0.959147917
Pre,1,0,0
Pre,3,1.325011211,0.835988997
Pre,3,1.125490807,0.710105637
Pre,5,2.251629167,0.9697239
Pre,94,5.81740002,0.887530881
Pre,1,0,0
Pre,2,0.41381685,0.41381685
Pre,31,4.345686851,0.877172922
Pre,10,3.003701696,0.904204309
Pre,26,3.852838933,0.819676278
Pre,37,4.14031702,0.794769956
Pre,1,0,0
Pre,1,0,0
Pre,2,0.543564443,0.543564443
Pre,18,4.106603137,0.984814628
Pre,2,1,1
Pre,6,2.5,0.967132018
Pre,41,5.096404088,0.951256112
Pre,33,4.530639062,0.898153268
Pre,129,6.161181777,0.878759389
Pre,16,3.88418372,0.97104593
Pre,14,3.200955209,0.840729397
Pre,11,3.292770194,0.951824044
Pre,3,1.584962501,1
Pre,29,4.349001341,0.89522815
Pre,3,0.921928095,0.581671866
Pre,35,2.797593761,0.545416143
Pre,1,0,0
Pre,7,2.305036533,0.821070579
Pre,18,3.879893824,0.930446908
Pre,2,1,1
Pre,56,4.925694831,0.848182158
Pre,1,0,0
Pre,40,4.157767752,0.781252147
Pre,23,4.156786516,0.918918886
Pre,23,1.728674814,0.38214903
Pre,12,3.456564762,0.964184357
Pre,44,4.679315085,0.857106639
Pre,1,0,0
Pre,19,3.884795487,0.914515484
Pre,2,1,1
Pre,1,0,0
Pre,2,0.918295834,0.918295834
Pre,10,3.05881389,0.920794732
Pre,10,3.093069208,0.93110661
Pre,141,5.768403696,0.807950446
Pre,11,3.111636871,0.899464772
Pre,25,3.952345228,0.85109122
Pre,130,6.454939304,0.919196982
Pre,115,5.721130659,0.835751804
Pre,30,4.382907352,0.89321481
Pre,25,4.019369278,0.865524063
Pre,30,3.207913761,0.653756936
Pre,1,0,0
Pre,3,1.584962501,1
Pre,7,1.970950594,0.702066767
Pre,4,1.79248125,0.896240625
Pre,2,0.721928095,0.721928095
Pre,106,5.926523278,0.880884861
Pre,32,4.663956848,0.93279137
Pre,115,5.187137007,0.757745168
Pre,99,4.59559416,0.693218727
Pre,36,3.422096516,0.661923822
Pre,40,5.111136578,0.960391889
Pre,18,3.875334933,0.929353629
Pre,29,4.249334029,0.87471195
Pre,59,5.085167892,0.864435909
Pre,13,3.026644889,0.817914929
Pre,25,4.301804027,0.926343076
Pre,23,3.184363225,0.703950395
Pre,1,0,0
Pre,37,4.432749986,0.850905013
Pre,4,2,1
Pre,4,1.145110414,0.572555207
Pre,3,1.5,0.94639463
Pre,7,2.751629167,0.980150086
Pre,7,2.536608254,0.903558091
Pre,16,3.916126947,0.979031737
Pre,15,3.708132065,0.949126159
Pre,17,3.970175521,0.971305594
Pre,13,3.576617645,0.966538551
Pre,49,5.207535698,0.927480821
Pre,42,4.057422898,0.752445114
Pre,18,3.78935062,0.908733519
Pre,9,2.564122937,0.808890726
Pre,7,2.646439345,0.942680715
Pre,1,0,0
Pre,75,5.024505922,0.806654708
Pre,4,0.63091746,0.31545873
Pre,65,4.208188165,0.69875974
Pre,35,4.646463047,0.905869891
Pre,49,5.327852911,0.948909749
Pre,1,0,0
Pre,24,4.362267575,0.951429281
Pre,1,0,0
Pre,1,0,0
Pre,11,2.603074189,0.752457188
Pre,15,3.203018465,0.81983828
Pre,17,3.430225266,0.839206471
Pre,108,6.153289536,0.910938862
Pre,94,5.832643096,0.889856439
Pre,28,4.00385619,0.832860534
Pre,5,2.235926351,0.962961065
Pre,1,0,0
Pre,3,1.584962501,1
Pre,2,1,1
Pre,3,0.946372936,0.597094843
Pre,1,0,0
Pre,2,0.811278124,0.811278124
Pre,6,2.521640636,0.975503759
Pre,1,0,0
Pre,29,3.957624539,0.814664475
Pre,14,2.968918564,0.77978508
Pre,4,1.921928095,0.960964047
Pre,30,4.463559396,0.909651297
Pre,8,2.682588731,0.894196244
Pre,26,4.550629619,0.968128493
Pre,4,1.921928095,0.960964047
Pre,42,5.136541279,0.952566564
Pre,5,2.321928095,1
Pre,80,5.798579816,0.917216983
Pre,55,2.699535911,0.466937891
Pre,31,4.869630874,0.982930544
Pre,51,4.929401452,0.869011253
Pre,26,3.126404481,0.665130215
