Treatment,Number_CDR3,Habs,H
Pre,1,0,0
Pre,1,0,0
Pre,138,6.368021872,0.895828932
Pre,67,4.571694531,0.75364776
Pre,54,5.011824345,0.870881376
Pre,68,5.527573911,0.908025898
Pre,12,2.511737433,0.700631438
Pre,176,6.747030888,0.904496647
Pre,12,3.506890596,0.978222393
Pre,119,6.710870809,0.973320984
Pre,26,3.246487862,0.690677481
Pre,126,6.022959365,0.863224556
Pre,141,6.732992753,0.943055442
Pre,8,2.599581231,0.866527077
Pre,19,3.140633068,0.739333018
Pre,17,3.354833979,0.820761952
Pre,181,6.752739981,0.900383832
Pre,50,3.826999522,0.678082395
Pre,181,6.200968813,0.826812831
Pre,191,6.752138435,0.891085695
Pre,83,5.408023152,0.84831211
Pre,72,4.220817354,0.684095407
Pre,18,3.267902632,0.783683791
Pre,13,3.152487689,0.851922455
Pre,111,5.303168686,0.780518707
Pre,117,5.534149505,0.805510294
Pre,26,3.854659989,0.8200637
Pre,147,5.344697517,0.742352882
Pre,1,0,0
Pre,14,3.536414237,0.928837555
Pre,2,1,1
Pre,28,4.424457121,0.920351668
Pre,7,2.495602924,0.888951698
Pre,14,3.613337314,0.949041365
Pre,20,4.132944045,0.956273208
Pre,44,3.7380464,0.684695159
Pre,10,2.55092779,0.767905782
Pre,2,0.591672779,0.591672779
Pre,3,1.5,0.94639463
Pre,2,1,1
Pre,5,1.43454914,0.617826686
Pre,3,1.224394445,0.772506886
Pre,4,1.918295834,0.959147917
Pre,2,0.558629373,0.558629373
Pre,3,0.69984284,0.441551671
Pre,2,1,1
Pre,56,4.830078394,0.831717444
Pre,78,5.712475379,0.908848023
Pre,56,4.620650532,0.795654923
Pre,69,4.079812357,0.667888356
Pre,1,0,0
Pre,14,3.646439345,0.957735598
Pre,98,6.461627885,0.976857343
Pre,35,4.054454492,0.790452482
Pre,9,1.963254648,0.619337886
Pre,38,4.893713852,0.932504087
Pre,30,4.27549576,0.87132486
Pre,10,2.644462784,0.796062621
Pre,28,3.619171552,0.752840514
Pre,21,4.094760846,0.93225522
Pre,17,3.011770255,0.736831226
Pre,3,1.370950594,0.864973521
Pre,43,4.601826753,0.848065283
Pre,3,0.48217919,0.304221198
Pre,125,6.250108912,0.897258465
Pre,4,1.921928095,0.960964047
Pre,18,3.745457183,0.898207325
Pre,37,4.930826501,0.946515144
Pre,4,1.921928095,0.960964047
Pre,109,5.53325096,0.817538456
Pre,134,5.760019621,0.81516373
Pre,43,4.972294974,0.916338439
Pre,32,3.657930907,0.731586181
Pre,24,3.848153308,0.839298753
Pre,7,2.034572366,0.724729299
Pre,42,4.672406438,0.866493211
Pre,41,5.2145131,0.973301444
Pre,29,4.008828548,0.825204659
Pre,6,2.439268146,0.94363773
Pre,3,1.584962501,1
Pre,3,1.198183948,0.755969903
Pre,41,4.824808365,0.900562115
Pre,14,1.782442781,0.468157768
Pre,171,5.155901153,0.69506655
Pre,6,1.833605679,0.709335504
