Treatment,Number_CDR3,Habs,H
Pre,1,0,0
Pre,2,1,1
Pre,30,4.268330899,0.869864697
Pre,14,3.606936732,0.947360256
Pre,10,3.188721876,0.959900932
Pre,9,3.121928095,0.984858662
Pre,9,3.121928095,0.984858662
Pre,26,4.380859114,0.932010488
Pre,53,5.241472951,0.915074326
Pre,24,3.809355279,0.830836736
Pre,82,6.187131276,0.97319397
Pre,7,2.807354922,1
Pre,4,2,1
Pre,6,2.584962501,1
Pre,8,2.753434386,0.917811462
Pre,51,5.462161333,0.962932256
Pre,12,3.456564762,0.964184357
Pre,55,5.540441389,0.958328432
Pre,36,4.937810189,0.955102867
Pre,17,3.98418372,0.974732707
Pre,2,1,1
Pre,7,2.75,0.979569765
Pre,9,3.022055209,0.953352274
Pre,5,2.155639062,0.928383212
Pre,17,3.184466425,0.779081437
Pre,8,2.054784824,0.684928275
Pre,26,4.01905463,0.855038012
Pre,12,3.499227547,0.97608484
Pre,1,0,0
Pre,7,1.901519618,0.677334954
Pre,1,0,0
Pre,22,4.112131681,0.922120134
Pre,12,3.499227547,0.97608484
Pre,42,4.66563649,0.865237731
Pre,1,0,0
Pre,1,0,0
Pre,1,0,0
Pre,5,1.62668885,0.700576755
Pre,3,1.584962501,1
Pre,12,1.808123229,0.504363219
Pre,88,2.068397301,0.320213515
Pre,48,5.241480142,0.938498717
Pre,2,1,1
Pre,1,0,0
Pre,9,1.864381458,0.588146867
Pre,21,3.832559522,0.872559779
Pre,3,1.298794941,0.819448372
Pre,14,2.805087481,0.736754923
Pre,4,2,1
Pre,1,0,0
Pre,9,2.487506726,0.784721003
Pre,1,0,0
Pre,11,3.240223929,0.936634767
Pre,1,0,0
Pre,2,1,1
Pre,4,2,1
Pre,1,0,0
Pre,27,4.273883423,0.898840072
Pre,38,4.846881014,0.923580023
Pre,10,3.321928095,1
Pre,4,1.291691997,0.645845999
Pre,3,1.5,0.94639463
Pre,31,4.68637013,0.94593953
Pre,9,2.950212065,0.930688286
Pre,3,1.584962501,1
Pre,1,0,0
Pre,2,1,1
Pre,23,3.754900338,0.830076027
Pre,35,4.965318279,0.968033595
Pre,2,0.918295834,0.918295834
Pre,3,1.521928095,0.960229718
Pre,26,4.422300049,0.940826883
Pre,28,4.511842188,0.938529038
Pre,8,2.751629167,0.917209722
Pre,4,0.041837385,0.020918693
Pre,1,0,0
Pre,5,2.321928095,1
Pre,2,1,1
Pre,1,0,0
Pre,37,2.457820221,0.471800024
Pre,3,1.095795255,0.69136983
Pre,25,4.362125961,0.939332697
Pre,24,3.411930946,0.744156783
Pre,18,4.095795255,0.982222763
Pre,2,1,1
Pre,4,1.921928095,0.960964047
Pre,14,2.520632612,0.662042983
Pre,8,2.607861226,0.869287075
Pre,13,1.228365557,0.331951241
Pre,8,2.845350937,0.948450312
Pre,8,2.777362795,0.925787598
Pre,1,0,0
Pre,2,1,1
Pre,2,1,1
Pre,2,1,1
Pre,4,2,1
Pre,2,0.918295834,0.918295834
Pre,4,1.921928095,0.960964047
Pre,4,1.685475297,0.842737649
Pre,12,3.584962501,1
Pre,13,2.589528468,0.699789394
Pre,6,1.716642278,0.664087884
Pre,7,2.807354922,1
Pre,13,3.664497779,0.990287117
Pre,4,1.921928095,0.960964047
Pre,52,5.026841206,0.881833938
Pre,32,4.693905447,0.938781089
Pre,9,2.866247897,0.90420054
Pre,30,4.777020933,0.973533206
Pre,1,0,0
Pre,3,1.061278124,0.669591946
Pre,10,3.321928095,1
Pre,2,1,1
Pre,15,3.003350789,0.768731736
Pre,7,2.330124965,0.83000726
Pre,3,1.5,0.94639463
Pre,15,3.438627221,0.880144231
Pre,2,1,1
Pre,1,0,0
Pre,2,0.811278124,0.811278124
Pre,1,0,0
Pre,1,0,0
Pre,1,0,0
Pre,4,1.79248125,0.896240625
