Treatment,Number_CDR3,Habs,H
Pre,18,2.357868981,0.565446376
Pre,3,0.88418372,0.557857816
Pre,5,2.321928095,1
Pre,96,4.411510509,0.669937074
Pre,77,3.699787086,0.590380263
Pre,67,4.988561661,0.822368664
Pre,53,4.277422114,0.746767024
Pre,18,2.73338039,0.655498693
Pre,156,5.813135668,0.797915543
Pre,12,3.584962501,1
Pre,108,6.347687082,0.939717661
Pre,65,5.000379033,0.830301169
Pre,34,3.846313776,0.756037714
Pre,10,1.996008928,0.600858559
Pre,52,4.578071076,0.80310841
Pre,19,0.834130124,0.196361666
Pre,89,5.19071128,0.801563458
Pre,4,1.75,0.875
Pre,111,3.781166399,0.556510887
Pre,23,4.252715279,0.940125353
Pre,115,5.832807944,0.852065798
Pre,45,3.995730702,0.727574214
Pre,33,1.738493135,0.344638641
Pre,28,3.155825639,0.656457801
Pre,32,1.826619108,0.365323822
Pre,10,2.423393038,0.729513996
Pre,39,2.344890064,0.443654043
Pre,19,2.342899148,0.551539343
Pre,13,2.867072911,0.774792492
Pre,66,2.577489332,0.426426418
Pre,39,4.595908306,0.869547504
Pre,2,1,1
Pre,22,3.323479753,0.745269809
Pre,3,0.101550064,0.064070957
Pre,27,4.193251964,0.881882476
Pre,24,2.724590817,0.594244951
Pre,41,4.257718342,0.794713395
Pre,6,1.987978899,0.769055218
Pre,2,1,1
Pre,2,0.122291597,0.122291597
Pre,1,0,0
Pre,6,2.521640636,0.975503759
Pre,5,1.22350065,0.526933049
Pre,2,0.970950594,0.970950594
Pre,1,0,0
Pre,5,1.828234437,0.787377715
Pre,10,2.879664005,0.866865243
Pre,26,2.055891304,0.437382762
Pre,124,5.320649494,0.765099122
Pre,187,6.112303896,0.809909815
Pre,1,0,0
Pre,3,1.5,0.94639463
Pre,5,2.155639062,0.928383212
Pre,46,4.34654046,0.786908972
Pre,15,2.858156377,0.731568061
Pre,4,1.921928095,0.960964047
Pre,16,2.810658264,0.702664566
Pre,13,3.259141984,0.880744515
Pre,17,3.061359673,0.748963304
Pre,9,2.389389478,0.753768457
Pre,11,2.979658695,0.861314523
Pre,1,0,0
Pre,44,1.982525783,0.363137763
Pre,4,1.79248125,0.896240625
Pre,34,4.262248098,0.837794443
Pre,9,1.575214346,0.4969248
Pre,10,2.554093274,0.768858687
Pre,18,2.146883395,0.514849402
Pre,3,1.584962501,1
Pre,73,4.370120868,0.70601692
Pre,25,4.244071896,0.913911138
Pre,37,2.092309309,0.401637017
Pre,35,4.606226986,0.898025508
Pre,26,3.390617932,0.721340584
Pre,3,1.483659164,0.936084711
Pre,117,5.763181938,0.838846578
Pre,3,1.584962501,1
Pre,13,3.26765917,0.883046183
Pre,2,1,1
Pre,1,0,0
Pre,1,0,0
Pre,22,2.468086501,0.553453155
Pre,32,1.865727281,0.373145456
Pre,103,3.860756142,0.577395624
Pre,70,4.041172996,0.659322303
Pre,27,3.900992549,0.820417422
Pre,112,4.082908172,0.599778948
Pre,87,1.912765399,0.296877569
Pre,32,4.544293727,0.908858745
Pre,16,2.806511546,0.701627887
Pre,14,0.335790568,0.088195237
Pre,1,0,0
Pre,11,3.11651387,0.90087454
Pre,9,2.559212517,0.807341661
Pre,5,2.321928095,1
Pre,1,0,0
Pre,41,4.090008093,0.763409872
Pre,14,3.011116004,0.790868218
Pre,72,4.323084838,0.700670565
Pre,44,3.420235674,0.626482006
Pre,20,3.049668972,0.705626957
Pre,9,2.73732278,0.863529193
Pre,6,1.929390686,0.746390203
Pre,39,4.222379978,0.79887581
Pre,48,4.831047931,0.865009914
Pre,10,2.36548154,0.712080898
Pre,21,3.942026087,0.89748206
