Treatment,Number_CDR3,Habs,H
Pre,5,2.040373394,0.87874099
Pre,1,0,0
Pre,108,6.321283951,0.935808916
Pre,61,5.764180985,0.971916417
Pre,42,5.173641979,0.959446853
Pre,54,5.491895109,0.954301037
Pre,14,2.820111964,0.740701096
Pre,130,6.537242261,0.930917097
Pre,8,2.947702779,0.982567593
Pre,67,5.815555976,0.958699385
Pre,69,5.495457827,0.899637526
Pre,105,6.408643984,0.954484605
Pre,111,5.733592689,0.843868377
Pre,10,3.189898095,0.96025501
Pre,66,5.675535354,0.938975064
Pre,30,4.208410187,0.857653152
Pre,75,5.593683818,0.898032853
Pre,20,3.865998613,0.894507851
Pre,75,5.597769787,0.898688831
Pre,99,5.798312885,0.874641872
Pre,32,4.836080318,0.967216064
Pre,3,1.584962501,1
Pre,16,3.098862156,0.774715539
Pre,4,2,1
Pre,68,5.585328552,0.917513371
Pre,52,4.922021283,0.863445896
Pre,13,3.239353872,0.875397012
Pre,63,3.338058196,0.558457733
Pre,2,1,1
Pre,10,3.277613437,0.986659959
Pre,7,2.725480557,0.970835763
Pre,13,3.530493057,0.954073928
Pre,3,1.584962501,1
Pre,13,3.304470485,0.892994005
Pre,12,3.521640636,0.982336813
Pre,35,4.428091748,0.863296436
Pre,7,2.75,0.979569765
Pre,2,0.918295834,0.918295834
Pre,2,0.650022422,0.650022422
Pre,2,1,1
Pre,1,0,0
Pre,1,0,0
Pre,4,1.905639062,0.952819531
Pre,6,2.521928095,0.975614963
Pre,15,3.723074189,0.952950716
Pre,40,4.662958826,0.876178472
Pre,40,5.084381168,0.955364499
Pre,1,0,0
Pre,7,2.55034071,0.90844969
Pre,9,3.121928095,0.984858662
Pre,11,2.715208806,0.784871362
Pre,4,2,1
Pre,28,3.775277331,0.785312795
Pre,6,2.222191576,0.859661049
Pre,16,3.282588731,0.820647183
Pre,14,3.130669697,0.82226894
Pre,16,2.024864437,0.506216109
Pre,2,0.811278124,0.811278124
Pre,23,4.144417883,0.916184618
Pre,2,0.918295834,0.918295834
Pre,21,4.082677718,0.929504251
Pre,3,0.316015975,0.199383881
Pre,19,3.614438731,0.850871094
Pre,23,4.440636353,0.981668074
Pre,2,1,1
Pre,46,5.279106036,0.955743065
Pre,124,6.21165953,0.893224645
Pre,25,4.453235913,0.958952158
Pre,24,4.513153409,0.984338129
Pre,11,3.323231429,0.960629316
Pre,4,1.752715279,0.876357639
Pre,22,3.345655621,0.750242611
Pre,42,5.102710635,0.946292704
Pre,5,2.321928095,1
Pre,3,0.343100308,0.216472193
Pre,24,4.11485754,0.89746809
Pre,10,3.239097918,0.975065632
Pre,71,5.696055879,0.926226033
Pre,8,2.710777084,0.903592361
Pre,25,4.482289237,0.965208451
Pre,79,5.840958507,0.926580213
Pre,80,5.358046238,0.847533562
Pre,35,4.557869202,0.888597722
Pre,9,3.121928095,0.984858662
Pre,10,1.535174566,0.462133593
Pre,3,1.584962501,1
Pre,6,2.335505557,0.903496881
Pre,10,2.919690574,0.878914441
Pre,4,2,1
Pre,55,4.558744689,0.788524658
Pre,13,3.039737686,0.821453102
Pre,28,4.555292984,0.947567437
Pre,28,4.175115761,0.868485025
Pre,16,1.750888377,0.437722094
Pre,4,2,1
Pre,8,2.682588731,0.894196244
Pre,17,3.582637413,0.876494185
Pre,26,4.265165705,0.907397171
Pre,9,2.847684729,0.898344512
Pre,13,2.816915477,0.76123804
Pre,24,4.487122805,0.978660743
Pre,1,0,0
Pre,2,0.811278124,0.811278124
Pre,3,1.5,0.94639463
Pre,3,1.370950594,0.864973521
Pre,12,3.506890596,0.978222393
Pre,17,3.936180434,0.962988677
Pre,7,2.565076542,0.9136987
Pre,2,1,1
Pre,30,4.442781234,0.905416811
Pre,22,3.972332797,0.890771097
Pre,15,3.105924972,0.794986421
Pre,10,2.585276918,0.778245899
Pre,70,5.857145778,0.955600478
Pre,14,3.690116518,0.969207388
Pre,156,5.987634581,0.8218674
Pre,3,1.5,0.94639463
Pre,99,6.441574457,0.97167415
Pre,38,5.159325271,0.983116718
Pre,75,3.256779253,0.522856647
Pre,4,1.752715279,0.876357639
Pre,19,4.137537511,0.97401321
Pre,1,0,0
Pre,1,0,0
Pre,21,4.016687195,0.914480173
Pre,103,6.340830463,0.948303292
Pre,41,5.037099173,0.940186706
Pre,10,0.238798396,0.07188548
Pre,106,5.916116969,0.879338127
Pre,6,2.405639062,0.930628224
Pre,2,1,1
Pre,1,0,0
Pre,1,0,0
Pre,3,1.370950594,0.864973521
Pre,2,1,1
Pre,2,1,1
