Treatment,Number_CDR3,Habs,H
Pre,44,4.859567485,0.890123336
Pre,21,4.303508855,0.979780931
Pre,21,4.155755892,0.946141978
Pre,19,1.937282056,0.456053464
Pre,3,1.5,0.94639463
Pre,49,5.010398564,0.892369989
Pre,6,2.584962501,1
Pre,7,2.75,0.979569765
Pre,32,4.660528467,0.932105693
Pre,48,2.122974972,0.380123407
Pre,5,1.88109476,0.810143417
Pre,18,3.645593314,0.874258725
Pre,5,2.251629167,0.9697239
Pre,35,4.81512316,0.938751702
Pre,10,3.188721876,0.959900932
Pre,74,4.88160182,0.786156451
Pre,15,3.721611724,0.952576386
Pre,53,4.113928737,0.71822379
Pre,45,4.994994877,0.90952813
Pre,18,3.83326969,0.919265859
Pre,11,3.378783493,0.976687464
Pre,4,1.921928095,0.960964047
Pre,7,2.75,0.979569765
Pre,7,2.093069208,0.745566295
Pre,14,3.58418372,0.941384187
Pre,2,0.918295834,0.918295834
Pre,21,2.789392983,0.635061794
Pre,3,1.584962501,1
Pre,2,1,1
Pre,7,2.688721876,0.957742056
Pre,1,0,0
Pre,4,1.918295834,0.959147917
Pre,10,2.219721832,0.668202854
Pre,2,0.811278124,0.811278124
Pre,3,1.584962501,1
Pre,2,1,1
Pre,1,0,0
Pre,2,1,1
Pre,1,0,0
Pre,1,0,0
Pre,31,3.486143831,0.703674948
Pre,1,0,0
Pre,6,2.584962501,1
Pre,62,2.007160768,0.3371002
Pre,6,1.415437247,0.547565873
Pre,12,3.056564762,0.852607178
Pre,1,0,0
Pre,3,1.584962501,1
Pre,8,2.913977073,0.971325691
Pre,1,0,0
Pre,7,2.173973135,0.774384855
Pre,4,1.921928095,0.960964047
Pre,4,1.918295834,0.959147917
Pre,10,3.182005815,0.957879197
Pre,5,1.138686553,0.490405605
Pre,7,2.807354922,1
Pre,3,1.584962501,1
Pre,8,2.855388542,0.951796181
Pre,2,1,1
Pre,16,3.436278124,0.859069531
Pre,37,4.99856294,0.959517744
Pre,8,1.513757971,0.50458599
Pre,5,2.121928095,0.913864688
Pre,5,1.867633891,0.804346136
Pre,3,1.584962501,1
Pre,8,2.947702779,0.982567593
Pre,9,2.69951385,0.851601804
Pre,3,1.370950594,0.864973521
Pre,1,0,0
Pre,4,1.921928095,0.960964047
Pre,12,3.356492414,0.936269881
Pre,46,3.708479631,0.671392783
Pre,15,3.721928095,0.952657364
Pre,40,4.679508648,0.879288214
Pre,34,4.890020558,0.961190423
Pre,9,0.792913976,0.25013651
Pre,3,1.5,0.94639463
Pre,3,1.370950594,0.864973521
Pre,1,0,0
Pre,2,0.918295834,0.918295834
Pre,4,1.836591668,0.918295834
Pre,2,0.811278124,0.811278124
Pre,25,2.529333225,0.544662264
Pre,8,2.947702779,0.982567593
Pre,14,3.720175521,0.977102371
Pre,17,3.431540811,0.83952832
Pre,9,2.739572262,0.864238826
Pre,13,3.572431251,0.965407228
Pre,5,2.251629167,0.9697239
Pre,7,2.663532755,0.94876951
Pre,10,1.978024237,0.595444628
Pre,3,1.584962501,1
Pre,7,2.413799565,0.859812753
Pre,5,2.155639062,0.928383212
Pre,11,3.459431619,1
Pre,2,1,1
Pre,1,0,0
Pre,4,1.921928095,0.960964047
Pre,6,2.584962501,1
Pre,3,1.584962501,1
Pre,1,0,0
Pre,9,2.918295834,0.920619836
Pre,19,3.308234272,0.778787835
Pre,2,0.918295834,0.918295834
Pre,7,2.807354922,1
Pre,34,5.05881389,0.994368715
Pre,2,1,1
Pre,43,5.21064997,0.960264603
Pre,1,0,0
Pre,37,5.136248673,0.985947721
Pre,19,4.088779347,0.962535103
Pre,34,5.047291203,0.992103797
Pre,1,0,0
Pre,2,1,1
